SECTORNUMBER,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167
11,0,0,0,0,0,0,2290.961,7.414,15.316,39.079,96.599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.696,0,0,0.189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.352,0,0,0,0,0,0,0,0,120639.88
12,1543.041,2049.259,1.277,5.999,11.539,101.018,7412.346,543.359,1233.799,1261.214,338.132,12661.679,123.821,289.505,10517.865,422.217,905.546,529.743,863.918,1081.344,1271.291,117.701,931.058,919.519,1931.392,663.584,26.922,679.875,455.122,635.447,2748.979,1590.273,1007.591,4261.357,6241.655,1800.666,710.744,3747.954,684.434,3184.87,2866.689,346.709,1004.552,702.524,924.645,1312.282,785.167,979.333,698.957,1417.687,158.124,344.605,263.24,20.008,88.548,0,1750.303,311.691,2.51,51.028,110.126,170.642,374.479,1059.148,364.294,2235.209,1394.235,50.374,327.746,123.287,465.267,39.367,518.865,419.365,16873.227,4077.176,10879.917,11132.151,29132.265,392.935,25.409,72.396,5068.404,365.233,1260.258,991.904,353.562,2110.959,1985.828,949.846,5008.33,4000.385,2770.841,3147.562,1474.259,1.758,318.369,310.033,48086.138,242.051,974.613,289.611,593.154,726.983,1104.86,245.123,926.635,2724.457,2296.312,943.2,970.448,7412.953,669.913,195.833,550.916,551.558,161.34,172.898,1145.923,516.923,889.492,318.579,2487.985,80.472,1870.119,597.622,768.514,1724.155,239.333,284.335,149.065,9851.715,3897.501,705.979,230.562,691.488,86.63,386.721,375.849,110.829,316.061,720.483,462.573,2964.978,5699.526,25751.96,2031.212,88.433,228.887,156.314,1043.232,63.427,752.422,518.713,60.541,127.341,1106.424,36.431,3102.133,154.239,6724.844,576.896,3360.358,0,0,0,222755.453
13,858.328,622.23,0.359,1.687,4.327,8.481,721.197,7.641,31.29,95.402,20.168,70.468,1.366,49.823,294.57,69.538,205.281,175.192,181.914,187.048,164.252,49.328,149.625,161.868,252.94,59.632,3.561,62.811,45.488,65.24,595.469,165.346,59.205,1348.133,1959.874,86.284,40.636,226.139,93.135,519.681,219.092,19.441,75.098,36.79,45.633,220.618,113.144,109.363,172.283,175.831,16.57,27.838,27.485,1.185,1.277,0,73.915,45.018,0,10.641,9.407,20.613,59.38,202.257,63.95,208.595,151.448,10.074,39.128,26.199,69.852,4.429,31.173,54.559,256.686,211.136,32.824,44.326,234.257,77.355,32.981,131.254,989.749,26.191,437.665,594.214,105.835,575.652,3.569,13.004,37.215,15.626,36.327,309.466,60.372,359.423,27.132,47.559,6804.623,410.961,136.38,43.247,5.828,42.93,21.778,4.634,4.137,4.967,13.433,7.234,17.927,130.093,72.067,45.295,19.167,12.663,8.643,25.761,208.71,28.407,297.682,718.256,739.441,71.666,18.582,1.755,6.65,18.127,0,1.974,13.71,157.294,90.215,16.858,3.9,30.756,3.701,4.124,7.83,2.15,9.842,15.21,9.749,44.865,150.41,626.691,80.401,2.01,18.31,4.702,19.407,3.398,54.473,14.022,80.716,1.666,54.895,40.968,1427.725,870.217,7976.154,1102.836,3013.831,0,0,0,49646.561
14,4546.892,298.998,0,0,2.334,9.606,3152.322,3.934,4.468,39.075,14.927,1438.636,69.604,127.81,1033.516,22.291,43.506,36.829,88.055,130.343,147.879,10.502,61.627,108.507,209.882,34.244,1.442,11.957,11.745,25.829,65.964,68.395,34.019,246.153,615.648,142.939,66.713,116.11,32.15,116.724,83.771,12.779,17.493,19.504,31.49,64.407,34.698,37.254,48.208,59.892,6.257,10.844,8.607,0,2.066,0,38.271,36.423,0,5.159,3.806,6.254,14.782,101.154,410.306,80.713,108.743,2.547,24.35,7.481,27.858,4.479,35.532,23.37,1304.57,359.048,270.866,173.126,1166.82,2.98,12.452,3.198,120.556,47.676,15.206,27.191,58.004,43.303,60.63,71.894,137.292,78.379,145.671,125.881,112.052,357.084,41.707,19.239,1451.685,33.656,113.235,149.285,62.864,69.464,105.715,37.494,66.932,176.826,66.295,17.559,55.11,145.219,46.644,123.263,27.568,54.638,19.229,17.716,236.965,40.557,732.048,167.926,2397.509,9.155,165.371,45.444,3.587,70.184,21.602,22.364,9.386,688.052,346.448,3.031,18.144,18.662,6.986,21.685,43.286,6.956,19.907,42.192,44.367,157.667,540.043,1473.318,210.753,5.691,17.591,15.215,111.756,6.872,145.773,19.198,94.893,8.086,245.627,33.166,2128.479,304.508,4024.157,1539.681,6617.169,0.85,0,0,37442.573
15,1427.159,328.035,0,0,18.809,30.017,535.02,625.622,565.687,1193.285,1129.234,9758.917,493.524,26.034,331.935,111.209,102.796,119.494,186.828,292.487,394.555,39.901,219.184,304.412,457.104,77.946,6.638,151.423,64.906,134.458,378.953,473.558,235.772,9291.448,1123.726,491.774,172.545,575.195,135.331,824.515,515.765,105.251,149.28,127.628,232.524,436.898,254.119,353.846,166.503,556.453,72.049,113.321,108.187,3.311,20.222,0,415.799,183.025,0,14.861,32.129,49.196,68.043,503.509,101.494,597.662,318.277,15.248,138.763,38.757,104.474,12.375,221.693,125.547,4276.958,1320.291,1114.079,2670.853,6395.957,389.419,2451.392,50.08,819.617,477.224,1175.451,1208.371,546.953,827.165,222.702,218.03,3169.442,535.598,1095.737,4748.077,2131.871,27.109,235.024,406.068,74644.796,111.547,905.957,0.001,160.127,245.916,995.402,127.342,113.66,106.416,446.685,87.599,399.043,1130.437,55.618,292.451,136.875,47.178,80.501,55.189,298.952,79.378,178.442,33.381,1780.647,237.146,317.727,85.019,101.173,355.769,51.813,31.264,21.612,1378.18,650.962,226.804,61.759,335.416,10.341,59.533,91.162,10.011,105.425,141.676,113.51,408.745,2872.491,2486.357,513.732,34.631,107.657,30.655,344.52,55.383,127.496,100.464,1320.384,124.12,1088.361,38.169,11746.241,24.864,22699.076,4379.045,77218.313,70421.757,0,0,1586559.62
16,0,3584.103,0,0,1.8,28.759,0,0,0,0,0,0,0,0,0,25.116,0,0,0,0,147.343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.105,0,0.41,0,0.212,0,0,0,0,0,0,0,0,0,0,0,0,0,0.327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.904,0,860.781,1.028,0,0,0,0,0,0,0,0,0,0.155,3.869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.874,27.036,0,0,0,0,0,0,0,0.561,0,0,0,4.265,16.422,0,0,3.04,16.178,0,0,0,54079.114
17,0.003,2297.649,0,0,0.001,0.001,0.001,0,0.001,0.001,0,0.001,0.001,0.001,0.007,10234.335,13966.196,1894.781,1735.097,1878.976,200.551,125.253,9212.539,10555.388,4777.435,22.786,0.002,0.001,0,23.484,271.185,0.003,180.117,341.272,1769.728,0.003,1534.446,165.719,0.002,431.713,0.001,0.001,0.002,0.002,0.001,0.005,0.002,0.001,0.001,0.007,0.001,0.002,0.002,0.002,0.002,0.001,0.002,0.004,0,0.001,0.001,0.002,0.003,0.005,0.004,0.003,0.002,0,0.001,0.002,0.003,0,0.003,0.003,86.612,0,1207.396,295.1,5.175,0.001,0,0,0.001,0.001,0.001,0.001,0.001,0,0.002,0.002,0.002,0.001,194.733,0.001,0.002,0,0.001,0,0.003,0.001,0.002,0.001,0,0.001,31.604,0.001,0.003,0.002,18.195,0.001,0.002,0.001,0.001,0,0.001,0.001,0,0.001,0.001,0.001,0.001,3.792,124.988,0,0.001,0.001,0.001,0.001,0.001,0.001,0,265.242,46.878,182.479,22.289,13.078,0.001,0.001,0.001,0.001,0.001,0.001,0.001,26.113,460.765,5371.226,0.001,0,0,0,0,0.001,0.001,0,1.068,0.001,6.642,34.718,51.831,0.001,713.066,106.275,97.534,0,0,0,18746.425
18,0,53.889,0,0,0,0,0,0,0,0,0,0,0,0,0,98.933,152.987,2197.34,45.908,409.744,0,0,1150.755,280.232,206.243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.291,16.411,1.491,0,0,0.965,0,0,0,0,0,0,0,6.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.759,0,0,0,0.656,0,0,0,0,0,0,0,0,0,0,0,0,1.093,43.732,0,0,0,0,0,0,0,0,30.25,13.795,12.797,7.138,5.003,0,1.006,0,0,0,0,2.676,7.526,19.288,462.644,0,0,0,0,0,0,0,0,0,0,4.1,10.003,31.59,0,75.547,24.186,49.612,0,0,0,31249.985
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,60.725,17.327,2437.261,1.744,0,0,161.285,266.485,135.759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.029,0,0.28,9.436,0.001,0,0,3.198,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.433,0,0,0.351,0,0,0,0,0,0,0,0,0,53.724,97.662,0,0,0,0,0,0,0,0,117.197,187.441,61.804,12.039,113.493,0,0,0,0,0,8.788,1.557,22.683,45.81,1540.498,0,0,0,0,0,0,0,0,23.627,0,58.19,8.725,61.476,0,1291.745,569.724,363.838,0,0,0,69034.988
20,0.002,53.667,0,0,0,0,0.001,0,0,0.001,0,0,0,0,0.004,222.465,0.002,484.85,2085.182,20722.752,0.001,0,931.498,543.794,0.003,0.002,0.001,0,0,0.001,0.001,0.002,0,0.001,0.002,84.406,0.001,0.002,0.001,0.003,0,0,0.001,0.001,0.001,0.003,0.001,0.001,0,0.005,0.001,0.001,0.001,0.001,0.001,0,0.001,0.002,0,0.001,0.001,0.001,0.002,0.003,0.002,0.002,0.001,0,0.001,0.001,0.002,0,0.002,0.002,990.953,0,367.446,261.251,1047.133,0,0,30.433,0,0,0.001,0.877,0,0,0.001,0.001,0.001,0.001,2.735,0,0.001,0,0,0,0.002,0,0.001,0.001,0,0.001,0,0.001,0.002,0.001,28.04,0.001,0.001,0,0.001,0,0.001,0,0,0,0,0,0,564.908,642.534,0,0.866,0,0.001,0,0.001,0.001,0,1161.705,594.782,243.138,62.334,1591.391,9.658,68.6,61.297,0.001,16.053,324.624,27.826,252.435,365.949,9957.961,0,0,0,0,0,0,0,0,92.936,0,100.114,26.738,399.325,0.001,7445.693,1258.887,2109.178,0,0,0,82978.352
